Region,Year,Yield,Production,Area
Tumbarumba,2021,1.8,322,219
Tumbarumba,2022,1.4,279,219
Tumbarumba,2023,1.7,405,219
Upper Goulburn,2001,0,0,0
Upper Goulburn,2002,0,0,0
Upper Goulburn,2003,0,0,0
Upper Goulburn,2004,9.7,2156,222
Upper Goulburn,2005,8.1,2454,300
Upper Goulburn,2006,7.8,1386,177
Upper Goulburn,2007,2.4,426,175
Upper Goulburn,2008,9.4,2030,214
Upper Goulburn,2009,2.1,67,228
Upper Goulburn,2010,4.1,1013,245
Upper Goulburn,2011,3.5,631,250
Upper Goulburn,2012,3.9,1015,262
Upper Goulburn,2013,1.3,135,292
Upper Goulburn,2014,2.8,522,324
Upper Goulburn,2015,7.4,2877,389
Upper Goulburn,2016,0.8,264,382
Upper Goulburn,2017,1.6,431,375
Upper Goulburn,2018,1.8,615,369
Upper Goulburn,2019,4.2,1112,367
Upper Goulburn,2020,1,356,367
Upper Goulburn,2021,2.9,858,367
Upper Goulburn,2022,2.4,851,367
Upper Goulburn,2023,2,668,367
WA - other,2001,7.4,7140,975
WA - other,2002,6.1,6162,1004
WA - other,2003,5.2,5045,982
WA - other,2004,7.4,6841,915
WA - other,2005,5.1,4958,954
WA - other,2006,3.6,3470,955
WA - other,2007,2.3,603,254
WA - other,2008,3.9,1340,340
WA - other,2009,0,0,262
WA - other,2010,5.9,1170,205
WA - other,2011,0,0,134
WA - other,2012,5.6,411,74
WA - other,2013,0,0,71
WA - other,2014,0,0,71
WA - other,2015,4.2,337,81
WA - other,2016,3.7,87,81
WA - other,2017,0,1,81
WA - other,2018,6.7,80,81
WA - other,2019,0,0,81
WA - other,2020,0.1,1,81
WA - other,2021,1.5,3,81
WA - other,2022,0,0,81
WA - other,2023,0.1,4,81
Western Plains,2001,5.7,1205,328
Western Plains,2002,11.6,3483,430
Western Plains,2003,5.7,1694,407
Western Plains,2004,11.8,5070,436
Western Plains,2005,12.1,5533,479
Western Plains,2006,10.6,1489,154
Western Plains,2007,8.8,1657,313
Western Plains,2008,10.9,3425,312
Western Plains,2009,97.2,20311,271
Western Plains,2010,6.5,1471,235
Western Plains,2011,0,0,140
Western Plains,2012,1,52,57
Western Plains,2013,0,0,91
Western Plains,2014,0,0,137
Western Plains,2015,5.4,1258,236
Western Plains,2016,0,0,236
Western Plains,2017,0,0,236
Western Plains,2018,0,0,236
Western Plains,2019,0,0,236
Western Plains,2020,0,0,236
Western Plains,2021,0,0,236
Western Plains,2022,0,0,236
Western Plains,2023,0,0,236
Western Victoria - other,2001,4.3,434,109
Western Victoria - other,2002,3,170,56
Western Victoria - other,2003,6.2,534,85
Western Victoria - other,2004,6.8,804,121
Western Victoria - other,2005,3,202,69
Western Victoria - other,2006,9.1,2008,219
Western Victoria - other,2007,4.5,948,208
Western Victoria - other,2008,3.4,323,93
Western Victoria - other,2009,0.7,40,82
Western Victoria - other,2010,3.1,231,72
Western Victoria - other,2011,1.4,54,68
Western Victoria - other,2012,3.5,246,71
Western Victoria - other,2013,1.1,34,68
Western Victoria - other,2014,0.5,13,64
Western Victoria - other,2015,2.7,169,61
Western Victoria - other,2016,1.1,41,61
Western Victoria - other,2017,1.8,91,61
Western Victoria - other,2018,2.2,51,61
Western Victoria - other,2019,1.5,75,61
Western Victoria - other,2020,0.7,38,61
Western Victoria - other,2021,3,152,61
Western Victoria - other,2022,4.5,361,61
Western Victoria - other,2023,1.5,78,61
Wrattonbully,2001,18.2,16172,883
Wrattonbully,2002,6,8685,1439
Wrattonbully,2003,8.8,13333,1498
Wrattonbully,2004,17.5,28450,1620
Wrattonbully,2005,7.6,16780,2188
Wrattonbully,2006,9.4,22379,2372
Wrattonbully,2007,3.9,10096,2474
Wrattonbully,2008,9.4,23345,2452
Wrattonbully,2009,8.6,21757,2524
Wrattonbully,2010,8.8,23292,2631
Wrattonbully,2011,5.3,14104,2627
Wrattonbully,2012,7.2,19054,2643
Wrattonbully,2013,7.1,19206,2671
Wrattonbully,2014,6.7,17848,2662
Wrattonbully,2015,6.2,16557,2657
Wrattonbully,2016,8.9,23606,2650
Wrattonbully,2017,10.4,27373,2646
Wrattonbully,2018,4.9,13160,2649
Wrattonbully,2019,9.2,24574,2650
Wrattonbully,2020,4.8,12371,2588
Wrattonbully,2021,12.6,32738,2585
Wrattonbully,2022,8,21210,2617
Wrattonbully,2023,0,13251,2696
Yarra Valley,2001,7.5,15389,2038
Yarra Valley,2002,3.6,8003,2208
Yarra Valley,2003,5.1,12057,2323
Yarra Valley,2004,7.5,19338,2570
Yarra Valley,2005,6.4,15401,2376
Yarra Valley,2006,6.3,15163,2406
Yarra Valley,2007,4.1,10284,2498
Yarra Valley,2008,8.1,20962,2586
Yarra Valley,2009,3.2,8073,2499
Yarra Valley,2010,6.4,15711,2440
Yarra Valley,2011,3.6,8471,2392
Yarra Valley,2012,5.1,12018,2352
Yarra Valley,2013,2.7,6120,2247
Yarra Valley,2014,3.7,8169,2173
Yarra Valley,2015,6.3,13565,2118
Yarra Valley,2016,3.7,8280,2203
Yarra Valley,2017,3.6,8391,2288
Yarra Valley,2018,4.2,10298,2374
Yarra Valley,2019,4.9,12347,2477
Yarra Valley,2020,2.5,6206,2477
Yarra Valley,2021,4.1,10246,2477
Yarra Valley,2022,2.4,6132,2477
Yarra Valley,2023,2.8,7237,2477
